epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,1.405939975040201,52.980581362893254,0.5948987678622057,0.5970732485346306,0.5574066897230148,0.8716622478975701,60.93430113530616,0.5759006316086739,0.6093430113530616,0.5655828310724852
2,1.3321132000622327,55.62024004146896,0.6173903732289838,0.6278559751186251,0.5735003032410863,0.8206375922744953,64.2285501581984,0.6247067879465898,0.6422855015819839,0.5821103008646834
3,1.2982406256810068,56.967981179472865,0.6293210584383239,0.6461980142748913,0.6037691704876272,0.8421138970518653,65.01023636702028,0.6454669761913487,0.6501023636702029,0.6047569786139525
4,1.2923473471103424,56.76063638901073,0.6278301816704226,0.632959846883847,0.6228662008891063,0.8534592938294474,63.372417643774426,0.638867326225833,0.6337241764377443,0.6190266735988349
5,1.2774042396379233,57.211212568284225,0.640568997072035,0.6555684038438534,0.6442904955184308,0.7721293187332224,68.15559277870835,0.6703437849040701,0.6815559277870835,0.6733178307569441
6,1.2753616063720972,57.78141074205511,0.6320963783757679,0.6301287930140755,0.6211589098518386,0.783452777496024,66.61083193746511,0.6651122724688513,0.666108319374651,0.6576553435797134
7,1.2707857390787476,57.72159974480641,0.6396632212781478,0.6373061126839188,0.5798658953604561,0.7885556266712961,66.75972454866927,0.6406615675547191,0.6675972454866927,0.6104763465982554
8,1.2690299237295888,57.53817935324375,0.640760422042121,0.65114239004745,0.6000704690521236,0.8076167915778388,66.68527824306719,0.6625572374971085,0.6668527824306719,0.6165420436255876
9,1.2578019527419484,57.83324693967064,0.647417550806809,0.6530962159575741,0.6099274781279472,0.7910023650798234,66.49916247906198,0.6572739907834305,0.6649916247906198,0.6246940237991934
10,1.2435947293950789,58.95370628812951,0.6463399113784497,0.6635033294788468,0.6367086446106849,0.7549430123703142,68.9000558347292,0.672292120252079,0.689000558347292,0.6666180963670891
11,1.2453851273120784,59.05737868336058,0.6522354218220365,0.6493480601299892,0.6226256153086632,0.7554985151463063,69.01172529313233,0.680644232243715,0.6901172529313233,0.667915831937647
12,1.232159566525623,59.149088879141914,0.6512883826233753,0.6691654372183898,0.648220033190415,0.7795281978197522,69.01172529313233,0.6783032607288786,0.6901172529313233,0.670380301017227
13,1.2243291323937613,60.0502412376889,0.6635487291776219,0.6522189879979265,0.6135681514404686,0.7356905060819068,68.86283268192815,0.6853118384573698,0.6886283268192815,0.6543173681561664
14,1.2318540228350063,59.55979106024961,0.6558635028505646,0.6689660672275609,0.6440110067200033,0.7383751907362832,69.29089893914015,0.6747365706380661,0.6929089893914014,0.6685805542247243
15,1.2221278632493808,59.384345468320106,0.6778992185037459,0.6606324016109095,0.60540692731698,0.746019130708917,68.41615484831566,0.6886572584430177,0.6841615484831566,0.6250714323970031
16,1.2216611167898666,59.48801786355118,0.6425298139063796,0.6611906375852307,0.6361056253777118,0.7646404731746228,69.23506420993859,0.6796267854462278,0.6923506420993858,0.6717830523002962
17,1.2226021114474321,59.75118625144543,0.6586040551312767,0.6680888392679134,0.6478969737439072,0.7468607158339625,69.68174204355108,0.6874979252701265,0.6968174204355109,0.6822383506256549
18,1.224475618288883,59.460106064835124,0.6565899753178325,0.673830695003788,0.6501850994198964,0.7547889905736452,69.92369253675787,0.6880870973168323,0.6992369253675786,0.6782300712715166
19,1.227407285578585,59.41624466685275,0.6635101200069675,0.6777782208222018,0.6631743057663732,0.7536221813849402,70.09119672436255,0.6900423681700322,0.7009119672436256,0.6912615934213049
20,1.2321597847709806,59.75118625144543,0.6614096207900684,0.6737509470074564,0.6378009172901168,0.7493777860149466,69.66313046715057,0.687629441944758,0.6966313046715057,0.6661172662542019
21,1.21237083519326,60.59252761274373,0.6366816154404925,0.6527772239722477,0.6013308839281185,0.7769994887474992,66.46193932626093,0.6581660782127086,0.6646193932626093,0.6124132199938582
22,1.2215535072596042,59.79903504924439,0.6576165518003013,0.6717971210973325,0.6367791881608718,0.7441348592462474,69.19784105713754,0.6835471635648299,0.6919784105713754,0.6569502834541466
23,1.214780577917771,59.8349216475936,0.6741710971919143,0.680090912715818,0.6645114760240007,0.7307649885012898,70.81704820398288,0.6962871356172559,0.7081704820398288,0.695125267274038
24,1.2143554982968299,60.014354639339686,0.6592083412522574,0.6763427568882332,0.657786857952307,0.7635324431069177,69.14200632793597,0.6841531062795059,0.6914200632793598,0.6757734550806663
25,1.214216191363946,60.33733402448264,0.6756911436228993,0.6749072929542645,0.6337938166204812,0.7379892876799182,69.90508096035734,0.7015593173915146,0.6990508096035735,0.6586947622070629
26,1.2167761003606519,60.19378763108577,0.6655593724214248,0.6736711990111248,0.633812866714098,0.7375883383389715,69.36534524474223,0.6874997274066599,0.6936534524474223,0.648901172406227
27,1.2208150100530233,59.65150125603094,0.65905659481992,0.674030064994617,0.6391859144620226,0.7393199673982255,69.4211799739438,0.6823081187145612,0.6942117997394379,0.6640622379979062
28,1.2046478620969754,60.233661629251564,0.6631450930697828,0.6766617488735596,0.6468593472707204,0.725475282148123,70.94732923878652,0.692377128970398,0.7094732923878653,0.6865700331748796
29,1.201816761858265,60.46493081861318,0.675266620381029,0.6881454603453089,0.668015416161734,0.7268205982955855,72.11985855201935,0.7085470673923601,0.7211985855201936,0.7061198001294616
30,1.2059693064690207,60.863670800271144,0.6773729433873765,0.6862315084333506,0.6676201755081896,0.7246395633936417,71.82207332961102,0.7045393984049537,0.7182207332961101,0.7003325629079863
31,1.1978872509691731,60.863670800271144,0.6764952141385294,0.6855935244626978,0.6659295896436768,0.7266262932771548,71.1892797319933,0.6971470181806124,0.711892797319933,0.6890575789112269
32,1.1955896613225112,61.250448582479365,0.6689971274760345,0.6840384385342319,0.6574033521489326,0.7314942765009597,70.96594081518704,0.6983227911835166,0.7096594081518705,0.6860541180926637
33,1.199272094633625,61.13481398779856,0.6671939941748994,0.6815263766497867,0.6554886698342159,0.7250125675744548,70.3145356411688,0.6962555766156181,0.7031453564116881,0.6796742949081164
34,1.187355046428378,61.36608317716017,0.6677822398857686,0.6826827225965948,0.6526354365570652,0.7269707290060845,70.35175879396985,0.6953466956149883,0.7035175879396985,0.6716248454650927
35,1.1917721719290062,61.04709119183381,0.6731620196730947,0.6884644523306352,0.6660016382304074,0.727748609534327,70.89149450958496,0.698362567476436,0.7089149450958496,0.685912374379259
36,1.1851122720831246,61.61330196578811,0.6767692507216386,0.6851549104828741,0.6653569615658149,0.7211612891423155,71.11483342639121,0.7031566027264868,0.7111483342639121,0.691487995504158
37,1.193658662505914,60.939431396786155,0.6766355547421684,0.6892619322939512,0.6651388609657809,0.7296040372300054,70.96594081518704,0.7034902614364924,0.7096594081518705,0.6860494290671644
38,1.19280805960051,60.855696000637984,0.6784025005611312,0.6910562622114119,0.6670431634721058,0.7157762730651875,71.74762702400893,0.7038783849742095,0.7174762702400893,0.6950631437090569
39,1.1805433477291227,61.46975557239124,0.6695466459340345,0.6816459986442841,0.65103562374077,0.7095673186096114,71.04038712078913,0.6953877666821917,0.7104038712078913,0.6802362790659682
40,1.180256748965703,61.35810837752702,0.6769673901089611,0.6856732724590294,0.6565610483083755,0.7206939982675694,70.81704820398288,0.7044194396927766,0.7081704820398288,0.681099353580979
41,1.1860342400606094,61.31424697954464,0.6797429830416125,0.6905379002352566,0.6723279623710718,0.7154233234012546,72.06402382281779,0.7106646309617226,0.7206402382281779,0.7061351059737135
42,1.180926030163864,61.42589417440887,0.6813796117395489,0.6952031580206547,0.674748811176839,0.7118686489745623,71.61734598920529,0.7026058975976655,0.7161734598920528,0.6976152295808506
43,1.1970189552642905,61.20658718449699,0.6784699299465661,0.6916543721838989,0.6669195309267187,0.7161193702022567,72.19430485762145,0.7119926920934917,0.7219430485762144,0.7010511600079345
44,1.1768144906254028,61.72893656046892,0.6794274278879343,0.6928505921288728,0.6703059603980196,0.7056991850977035,72.00818909361622,0.7075291362355848,0.7200818909361623,0.7009721915682152
45,1.186972294537672,61.15076358706487,0.6773232751866389,0.6904182782407592,0.668641621812304,0.7216490218254656,71.5428996836032,0.7049423684125166,0.715428996836032,0.6964349746337117
46,1.1847279276724823,61.34614617807728,0.6805637685975607,0.6931297101160333,0.669204079185653,0.7180072620064547,71.76623860040945,0.7085529151713701,0.7176623860040946,0.6977124922946931
47,1.1770832569549052,61.326209178994375,0.685100522909836,0.6958810159894733,0.679243706807698,0.7190101343050541,71.87790805881258,0.7081780672337283,0.7187790805881258,0.7041399787431928
48,1.169976908461206,62.06786554487819,0.6749485404369219,0.6896606722756091,0.6684197465848941,0.7113619029089301,72.11985855201935,0.7115937034413603,0.7211985855201936,0.7030317302044752
49,1.1691328431697805,61.74887355955182,0.6814022610417564,0.6932892061086965,0.6706070584568585,0.7112782902498386,72.04541224641727,0.7114829003665724,0.7204541224641727,0.6996280332404559
50,1.1763737255023272,61.74089875991866,0.6765776239881716,0.6932493321105307,0.6709210246816293,0.7075796802461469,71.91513121161363,0.7045246933684812,0.7191513121161363,0.7003401444897066
