split,loss,accuracy,precision,recall,f1_score
train,0.44764958797209714,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654
val,0.48107799020985503,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
test,0.42386082143427056,85.98130841121495,0.7392785396104463,0.8598130841121495,0.7950030526464096
