epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.8228437252495105,72.85378204872603,0.7453623459480072,0.7554128952510069,0.73782283395818,0.7313734477577586,78.11278615298716,0.7736891015550956,0.7811278615298716,0.7671369520366096
2,0.734103631519797,78.22082220184218,0.8028776102421502,0.8009888751545118,0.801132405977301,0.6512685704004958,83.7893169551461,0.8406970529639899,0.837893169551461,0.8386242642237959
3,0.699218552251092,80.45376609912675,0.8192897375271191,0.8251126440448183,0.819683815576851,0.6139631639218255,85.35268937278988,0.8481656747911234,0.8535268937278988,0.8489381567985058
4,0.6686052652897696,81.80150723713066,0.8252111745298094,0.8316918537421747,0.8221869813869231,0.6086440252099604,84.98045784477945,0.8425488318120196,0.8498045784477946,0.8444467332873871
5,0.6546995052286843,82.55512580246422,0.8444166824839433,0.8475218310139958,0.8448957490716801,0.5767353180842362,87.06495440163782,0.8689968767743065,0.8706495440163782,0.8695897636220695
6,0.6383852684600981,83.60381195422465,0.8266537149324199,0.8258303760118028,0.8242844426496193,0.620173171071085,85.22240833798622,0.8548044478565364,0.8522240833798623,0.8508813987335182
7,0.6259202213919359,84.83591849754775,0.8463003115228626,0.8476414530084931,0.84403882590605,0.5726153244414011,87.3999627768472,0.8713639952342315,0.873999627768472,0.8695054207872611
8,0.615172779262054,84.91566649387934,0.8602011066161966,0.8617967223573507,0.8607700142617039,0.5512025181017574,88.16303740926857,0.8786967504066617,0.8816303740926856,0.8798778005115568
9,0.6034477429363525,85.85270545077555,0.8615280781798764,0.8623549583316719,0.8580506314370958,0.5493868964800683,88.59110366648055,0.8832315363495511,0.8859110366648055,0.8823426974261851
10,0.5980289783235933,86.20758403445113,0.8601093945449455,0.8605207544160453,0.8518478706957611,0.5501291489614447,89.01916992369253,0.8866492726697871,0.8901916992369253,0.8864739535632666
11,0.5934901746191417,86.19960923481797,0.8700538207569594,0.8716854739024682,0.8707489990103314,0.5548568635419074,88.05136795086544,0.8790588638159373,0.8805136795086543,0.8795588080839579
12,0.5824235313517363,87.08481199409864,0.8739677535658402,0.8773475816420112,0.8746151458364841,0.5367419435262192,89.22389726409827,0.889959354358329,0.8922389726409827,0.8908902610434094
13,0.5777191463909136,87.3479803819929,0.8859620402796511,0.8802185095099485,0.8811590521127066,0.5259484888210257,89.31695514610088,0.8961231033616188,0.8931695514610087,0.8933328129834261
14,0.5758753261325072,87.2682323856613,0.873733842810835,0.8733601818254316,0.8701663912006049,0.5400594156724258,89.22389726409827,0.892673530493912,0.8922389726409827,0.8884191751664212
15,0.5714259895952206,87.49950157502293,0.8785365037160031,0.8789824155668089,0.8778681415500739,0.5347636055950787,89.59612879210869,0.894753928994266,0.8959612879210869,0.894501135175637
16,0.5680618281783496,87.71083376530164,0.8848792298695756,0.8871167111926312,0.8848507219595292,0.5239175478661724,90.67560022333892,0.9045103906750206,0.9067560022333891,0.9051419963029387
17,0.5555436933119999,88.54818772678337,0.8895082866343291,0.8889110411100921,0.8889889719087861,0.5237159759954392,89.85669086171599,0.8973697569386292,0.8985669086171598,0.8978546504707307
18,0.559764176104465,88.26109493998963,0.8952626770920633,0.8966067227560908,0.8956927458361922,0.5212402451799365,90.06141820212171,0.9017461743614106,0.9006141820212172,0.9003947885277831
19,0.550556886951444,88.85920491247657,0.8927478653281035,0.8905458750348898,0.8908118024986738,0.5298732961553136,89.8753024381165,0.9007257613517939,0.8987530243811651,0.8984008227002538
20,0.5496640869188767,88.75154511742892,0.8893473860513683,0.8899477650624028,0.8857533660952434,0.5273322554777704,90.11725293132328,0.8990011653122387,0.9011725293132329,0.8978927502065701
21,0.5287996661297523,89.80023126918937,0.8967421670009719,0.8990789106423701,0.8974334116384756,0.5253308942902362,90.43364973013215,0.9019005845610071,0.9043364973013214,0.9028348182175109
22,0.5220942954145515,90.11124845488257,0.9003528058610175,0.9012719805414889,0.8990009924818788,0.5147233446860655,91.1036664805509,0.9096228947723999,0.911036664805509,0.9088441014903005
23,0.5171424685385273,90.40631604130947,0.9046774526397326,0.9060967343195502,0.9048075701969109,0.5280671937270868,90.56393076493579,0.903239586276546,0.9056393076493578,0.9039705734258785
24,0.5187151603027272,90.21890824993022,0.9059283674797952,0.907292954264524,0.9063683825347576,0.5298727880792424,90.28475711892797,0.9020005075928667,0.9028475711892797,0.9021800768107289
25,0.51654886701013,90.67745922883688,0.910758918537389,0.910443000119622,0.9104288003546344,0.5056463898659285,91.02922017494882,0.910592001058076,0.9102922017494882,0.9100390249316642
26,0.5116052754620548,90.76916942461821,0.9084346828709019,0.9093265281709797,0.9078026690017451,0.5154727769035568,91.15950120975246,0.910897105582517,0.9115950120975247,0.9109310234586091
27,0.5106623594572377,90.89277881893217,0.9100970681888253,0.9111607320866063,0.9105655632356718,0.5122659585117828,91.25255909175507,0.9107714932637917,0.9125255909175507,0.9114166860814115
28,0.5087463666833356,91.08816140994458,0.9163358533670019,0.9166234698353204,0.916459204815215,0.5175288018291941,91.02922017494882,0.9100107778938957,0.9102922017494882,0.9100078595838296
29,0.5060807810934771,91.4151281949041,0.9141953232012598,0.9145898959288647,0.91436132686231,0.510890689837784,91.1036664805509,0.9107592192489007,0.911036664805509,0.9108184193705954
30,0.5028022280235249,91.435065193987,0.9134947172184318,0.9145898959288647,0.9135173962006867,0.5183107651480301,90.80588125814256,0.9061809934017344,0.9080588125814256,0.9068789476361646
31,0.505116076046183,91.35531719765541,0.9156924911569598,0.916304477849994,0.9159107137538717,0.5190895997943236,90.5825423413363,0.9081092199412701,0.9058254234133631,0.9060574009697691
32,0.49262315744541635,92.12089796243869,0.9201735377810801,0.9208899876390606,0.9204369166119956,0.5077078192011728,91.25255909175507,0.9129422526270331,0.9125255909175507,0.9123793755406411
33,0.4914949879158988,92.03317516647394,0.9242060222921262,0.9253160014354639,0.9245118549938192,0.5053935682731435,91.15950120975246,0.9114529674064114,0.9115950120975247,0.9114719770827959
34,0.49044021245841846,91.89361617289366,0.9217633222921786,0.9213286016188843,0.9215189479083995,0.5149039256490633,91.19672436255351,0.9133113469915886,0.911967243625535,0.9121880301983295
35,0.4871220659580312,92.29634355436819,0.9213515029629196,0.9217672155987081,0.9211111476546312,0.5159362151861058,91.64340219616602,0.9156368535069118,0.9164340219616601,0.9153565195664078
36,0.4843058194896052,92.42394034849875,0.9247201436704786,0.9251565054428007,0.9249228223631745,0.5082609767734549,91.08505490415038,0.9115854031811128,0.9108505490415039,0.9109344449763985
37,0.4807391820807525,92.71103313529248,0.9286375282767297,0.9287850392758882,0.928704850841433,0.5199538860910324,91.40145170295924,0.9138163873395554,0.9140145170295924,0.9138374544886843
38,0.4821986224483163,92.336217552534,0.925401092303966,0.9257944894134534,0.9255724221995436,0.5342242116926326,91.4572864321608,0.914786649346443,0.914572864321608,0.9144092028976988
39,0.480419223386233,92.63925993859404,0.9279835910666012,0.9274293233382511,0.9276346735048652,0.5194820345346652,91.55034431416341,0.9164246031589892,0.9155034431416341,0.9155914860826007
40,0.47705724526071497,92.87052912795566,0.9300703469879762,0.9304597471988516,0.9301821675829817,0.5143322744294959,91.73646007816862,0.9163598713707372,0.9173646007816862,0.9166522891066023
