epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.656386405684383,82.570281124498,0.6924378639054208,0.8321285140562249,0.755883507726654,0.48107799020985503,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
2,0.636676758264442,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.47457100101528205,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
3,0.6321911278259323,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4735851718381914,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
4,0.6340101007476868,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4739477280492407,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
5,0.6228409222330913,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4748317215724466,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
6,0.6201307074611925,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.47103988464509344,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
7,0.6121925149576731,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4791912396786137,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
8,0.6132654981919561,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4700529509369025,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
9,0.6070499482164421,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.4703388230326475,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
10,0.6085824548001271,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.46875134691959475,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
11,0.6081035757639321,83.21285140562249,0.6924378639054208,0.8321285140562249,0.755883507726654,0.47080987870805036,81.42589118198875,0.6630175754781072,0.8142589118198874,0.7308963138155763
