epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.9824098087008744,66.35852090032154,0.5939019070199232,0.6635852090032154,0.6167255003577944,0.8344535119551465,75.93984962406014,0.6886240221766537,0.7593984962406015,0.7222402068087612,0.0002
2,0.810489218238849,77.09003215434083,0.7294227056847242,0.7709003215434084,0.7351600105704024,0.7072167163504693,84.9624060150376,0.8017602248965419,0.849624060150376,0.8134982957150276,0.0002
3,0.7146553253437545,82.11414790996784,0.8155635253570029,0.8211414790996785,0.7949411443925724,0.7126835822162771,84.77443609022556,0.8220330485790259,0.8477443609022557,0.8229598374148757,0.0002
4,0.6533658165257077,84.88745980707395,0.8440999653730176,0.8488745980707395,0.8329784767351175,0.6628998746549276,86.65413533834587,0.8404661990690718,0.8665413533834586,0.8434557802757249,0.0002
5,0.6062804212332539,88.46463022508038,0.8797045129346552,0.8846463022508039,0.8739651674000483,0.6376420254994156,86.46616541353383,0.8486534849396822,0.8646616541353384,0.8565239916412151,0.0002
6,0.5708938663603792,90.07234726688102,0.898831907610575,0.9007234726688103,0.8948864937849461,0.6062655265169933,88.90977443609023,0.8746925524595802,0.8890977443609023,0.8631393607581972,0.0002
7,0.5412041581328659,91.07717041800643,0.9087186040135621,0.9107717041800643,0.9067985294366779,0.6202269021729777,87.40601503759399,0.8309793702152611,0.8740601503759399,0.8470570479171441,0.0002
8,0.5257308121854469,91.96141479099678,0.9188418777721556,0.9196141479099679,0.9171621310058382,0.5962746627348706,89.47368421052632,0.8705781300868772,0.8947368421052632,0.8622251604336963,0.0002
9,0.512514657050467,92.20257234726688,0.9212267585970889,0.9220257234726688,0.9196354350010347,0.5865067315280885,90.0375939849624,0.8667781809911326,0.900375939849624,0.8710719053895094,0.0002
10,0.506529904638456,92.96623794212219,0.9286279383442101,0.9296623794212219,0.9278975978700018,0.5906368148954291,90.0375939849624,0.8754100688947577,0.900375939849624,0.8714422977189674,0.0002
11,0.49234397330851415,93.40836012861736,0.9337320164874718,0.9340836012861736,0.9324398294802885,0.5556871837243101,91.16541353383458,0.8958811235322245,0.9116541353383458,0.886345377138377,0.0002
12,0.4769459359132209,94.29260450160771,0.942419446848881,0.9429260450160771,0.9415320398770707,0.5568397031690842,91.16541353383458,0.8909347563607597,0.9116541353383458,0.8995860543377222,0.0002
13,0.47903943512217406,93.93086816720258,0.9391794366219409,0.9393086816720257,0.9379483064419577,0.5566619630146744,90.78947368421052,0.8881080542264752,0.9078947368421053,0.8900803229308502,0.0002
14,0.4737041753587999,94.4935691318328,0.9444426250963756,0.944935691318328,0.9439923885145355,0.5466493036513939,90.22556390977444,0.8706021019854822,0.9022556390977443,0.8801787609995925,0.0002
15,0.4666843197736709,94.61414790996784,0.9458171379624253,0.9461414790996785,0.9451128708412002,0.5747245339522684,89.47368421052632,0.8535030680346821,0.8947368421052632,0.8663495238282639,0.0001
16,0.45415652948177127,94.89549839228296,0.9485744132178089,0.9489549839228296,0.9481277350951784,0.550662390719679,91.16541353383458,0.8863130685540463,0.9116541353383458,0.8899570478517846,0.0001
17,0.4355143507960525,96.38263665594856,0.9636323661578235,0.9638263665594855,0.9631681668709051,0.5685598818879378,90.97744360902256,0.8952663473294391,0.9097744360902256,0.8796816264706222,0.0001
18,0.43039184003780895,96.5032154340836,0.9651326107410078,0.965032154340836,0.9646410833229996,0.5569556812594708,90.6015037593985,0.8819908226448474,0.9060150375939849,0.8762766586097781,0.0001
